"STATION","MODE","LAT","LONG","TIMEOFDAY","BOARDINGS","ALIGHTINGS"
"20495","BUS",33.7474403239245,-84.4363401574351,"DAILY",0,0
"20496","BUS",33.7358300763905,-84.417719659074,"DAILY",1,0
"20497","BUS",33.7370401906861,-84.4177303290823,"DAILY",1,4
"20499","BUS",33.7422297924804,-84.4176102914882,"DAILY",12,0
"20589","BUS",33.7684203951197,-84.3889106364682,"DAILY",0,0
"20708","BUS",33.9327904482113,-84.5004802452644,"DAILY",152,147
"20901","BUS",33.9417036249686,-84.5296600506611,"DAILY",1027.02,1052.01
"20906","BUS",33.5224503943281,-84.3614100236391,"DAILY",0,0
"20933","BUS",33.9224902064832,-84.4765900965183,"DAILY",3,9
"22021","BUS",34.0400901031289,-84.3193301781199,"DAILY",36,72
"22025","BUS",34.0376803393627,-84.3064901567947,"DAILY",58.99,67.99
"22026","BUS",34.0440001422444,-84.2995599863567,"DAILY",24.01,32.98
"22408","BUS",33.9170304219374,-84.2255994895715,"DAILY",122,122
"22415","BUS",33.9618598290412,-84.1323196088769,"DAILY",95,94
"22416","BUS",33.9618198724371,-84.1184699380093,"DAILY",95,106.99
"22419","BUS",33.9650696762372,-84.1075905307225,"DAILY",29,32
"22420","BUS",33.9540996857165,-84.0939502587693,"DAILY",65,58
"22430","BUS",33.8732798431441,-84.4563704306524,"DAILY",157,146
"22514","BUS",33.8483202844502,-84.4953106262079,"DAILY",0,0
"22720","BUS",33.5725597812594,-84.3608405119422,"DAILY",89,95
"22807","BUS",33.6861297689774,-84.4967697498528,"DAILY",1,1
"22815","BUS",33.77771981905,-84.2668697482054,"DAILY",0,1
"22819","BUS",33.9415095500344,-84.2441706391439,"DAILY",1,1
"24000","BUS",33.8202298404207,-84.4491895150177,"DAILY",18,16
"24001","BUS",33.7892558614621,-84.3868953386368,"DAILY",5732.01,5953.99
"24003","BUS",33.7726034710298,-84.428805797773,"DAILY",641,707
"24004","BUS",33.7724112987911,-84.2522985180217,"DAILY",3888.02,3858.02
"24006","BUS",33.7810866386192,-84.3867046122372,"DAILY",4189,3801.01
"24008","BUS",33.8343145433657,-84.2066002059132,"DAILY",0,2
"24009","BUS",33.7740951842496,-84.2820064888328,"DAILY",911,931.01
